Any;Codi_Districte;Nom_Districte;Codi_Barri;Nom_Barri;Antiguitat;Nombre_motos
2007;1;Ciutat Vella;1;el Raval;Menys d'un any d'antiguitat;263
2007;1;Ciutat Vella;2;el Barri Gòtic;Menys d'un any d'antiguitat;429
2007;1;Ciutat Vella;3;la Barceloneta;Menys d'un any d'antiguitat;194
2007;1;Ciutat Vella;4;Sant Pere, Santa Caterina i la Ribera;Menys d'un any d'antiguitat;212
2007;2;Eixample;5;el Fort Pienc;Menys d'un any d'antiguitat;324
2007;2;Eixample;6;la Sagrada Família;Menys d'un any d'antiguitat;553
2007;2;Eixample;7;la Dreta de l'Eixample;Menys d'un any d'antiguitat;702
2007;2;Eixample;8;l'Antiga Esquerra de l'Eixample;Menys d'un any d'antiguitat;606
2007;2;Eixample;9;la Nova Esquerra de l'Eixample;Menys d'un any d'antiguitat;737
2007;2;Eixample;10;Sant Antoni;Menys d'un any d'antiguitat;392
2007;3;Sants-Montjuïc;11;el Poble Sec;Menys d'un any d'antiguitat;344
2007;3;Sants-Montjuïc;12;la Marina del Prat Vermell;Menys d'un any d'antiguitat;40
2007;3;Sants-Montjuïc;13;la Marina de Port;Menys d'un any d'antiguitat;309
2007;3;Sants-Montjuïc;14;la Font de la Guatlla;Menys d'un any d'antiguitat;107
2007;3;Sants-Montjuïc;15;Hostafrancs;Menys d'un any d'antiguitat;132
2007;3;Sants-Montjuïc;16;la Bordeta;Menys d'un any d'antiguitat;169
2007;3;Sants-Montjuïc;17;Sants - Badal;Menys d'un any d'antiguitat;255
2007;3;Sants-Montjuïc;18;Sants;Menys d'un any d'antiguitat;418
2007;4;Les Corts;19;les Corts;Menys d'un any d'antiguitat;620
2007;4;Les Corts;20;la Maternitat i Sant Ramon;Menys d'un any d'antiguitat;351
2007;4;Les Corts;21;Pedralbes;Menys d'un any d'antiguitat;248
2007;5;Sarrià-Sant Gervasi;22;Vallvidrera, el Tibidabo i les Planes;Menys d'un any d'antiguitat;67
2007;5;Sarrià-Sant Gervasi;23;Sarrià;Menys d'un any d'antiguitat;489
2007;5;Sarrià-Sant Gervasi;24;les Tres Torres;Menys d'un any d'antiguitat;341
2007;5;Sarrià-Sant Gervasi;25;Sant Gervasi - la Bonanova;Menys d'un any d'antiguitat;489
2007;5;Sarrià-Sant Gervasi;26;Sant Gervasi - Galvany;Menys d'un any d'antiguitat;1126
2007;5;Sarrià-Sant Gervasi;27;el Putxet i el Farró;Menys d'un any d'antiguitat;503
2007;6;Gràcia;28;Vallcarca i els Penitents;Menys d'un any d'antiguitat;211
2007;6;Gràcia;29;el Coll;Menys d'un any d'antiguitat;112
2007;6;Gràcia;30;la Salut;Menys d'un any d'antiguitat;172
2007;6;Gràcia;31;la Vila de Gràcia;Menys d'un any d'antiguitat;620
2007;6;Gràcia;32;el Camp d'en Grassot i Gràcia Nova;Menys d'un any d'antiguitat;449
2007;7;Horta-Guinardó;33;el Baix Guinardó;Menys d'un any d'antiguitat;288
2007;7;Horta-Guinardó;34;Can Baró;Menys d'un any d'antiguitat;115
2007;7;Horta-Guinardó;35;el Guinardó;Menys d'un any d'antiguitat;391
2007;7;Horta-Guinardó;36;la Font d'en Fargues;Menys d'un any d'antiguitat;136
2007;7;Horta-Guinardó;37;el Carmel;Menys d'un any d'antiguitat;381
2007;7;Horta-Guinardó;38;la Teixonera;Menys d'un any d'antiguitat;126
2007;7;Horta-Guinardó;39;Sant Genís dels Agudells;Menys d'un any d'antiguitat;62
2007;7;Horta-Guinardó;40;Montbau;Menys d'un any d'antiguitat;37
2007;7;Horta-Guinardó;41;la Vall d'Hebron;Menys d'un any d'antiguitat;53
2007;7;Horta-Guinardó;42;la Clota;Menys d'un any d'antiguitat;5
2007;7;Horta-Guinardó;43;Horta;Menys d'un any d'antiguitat;269
2007;8;Nou Barris;44;Vilapicina i la Torre Llobeta;Menys d'un any d'antiguitat;224
2007;8;Nou Barris;45;Porta;Menys d'un any d'antiguitat;177
2007;8;Nou Barris;46;el Turó de la Peira;Menys d'un any d'antiguitat;72
2007;8;Nou Barris;47;Can Peguera;Menys d'un any d'antiguitat;18
2007;8;Nou Barris;48;la Guineueta;Menys d'un any d'antiguitat;121
2007;8;Nou Barris;49;Canyelles;Menys d'un any d'antiguitat;56
2007;8;Nou Barris;50;les Roquetes;Menys d'un any d'antiguitat;105
2007;8;Nou Barris;51;Verdun;Menys d'un any d'antiguitat;77
2007;8;Nou Barris;52;la Prosperitat;Menys d'un any d'antiguitat;199
2007;8;Nou Barris;53;la Trinitat Nova;Menys d'un any d'antiguitat;47
2007;8;Nou Barris;54;Torre Baró;Menys d'un any d'antiguitat;11
2007;8;Nou Barris;55;Ciutat Meridiana;Menys d'un any d'antiguitat;50
2007;8;Nou Barris;56;Vallbona;Menys d'un any d'antiguitat;12
2007;9;Sant Andreu;57;la Trinitat Vella;Menys d'un any d'antiguitat;58
